отстой ; nul, pourri (slang) ; Это полный отстой. ; C'est complètement nul.
вслед за ; après, à la suite de ; Он пошел вслед за своими друзьями. ; Il est allé après ses amis. 
унизительный ; humiliant ; Это было унизительное поведение. ; C'était un comportement humiliant.
похолодание ; refroidissement ; Похолодание в отношениях между странами. ; Refroidissement des relations entre les pays.
противно ; dégoûtant, répugnant ; Мне это противно. ; Cela me dégoûte.
подвигать / подвинуть ; déplacer ; Подвинь стул поближе к столу. ; Déplace la chaise plus près de la table. 
пословица ; proverbe ; Все знают пословицу: "Утро вечера мудренее". ; Tout le monde connaît le proverbe : "Le matin a de l'or en la bouche".
надеяться / понадеяться ; espérer ; Я всегда надеюсь на лучшее. ; J'espère toujours le meilleur.
обижаться / обидеться ; se fâcher, se vexer ; Не обижайся на меня. ; Ne te fâche pas contre moi.
высший ; supérieur, le plus élevé ; Это высший уровень качества. ; C'est le plus haut niveau de qualité.
уживаться / ужиться ; s'adapter, s'habituer ; Он быстро уживается в новых условиях. ; Il s'adapte rapidement à de nouvelles conditions.
урождённый ; de naissance, né ; Он урожденный аристократ. ; Il est né aristocrate.
двоюродный ; cousin ; Мой двоюродный брат живет в другом городе. ; Mon cousin vit dans une autre ville.
карета ; calèche ; Они ехали на карете по городу. ; Ils se promenaient en calèche dans la ville.
приятель ; copain, ami ; Мой приятель любит читать книги. ; Mon ami aime lire des livres.
перемена ; changement ; У нас сегодня будет перемена планов. ; Nous aurons un changement de plans aujourd'hui.
тень ; ombre ; Солнце светит, а тень от дерева приятно прохладна. ; Le soleil brille, mais l'ombre de l'arbre est agréablement fraîche.
прибавлять / прибавить ; ajouter ; Я хочу прибавить еще одну вещь к нашему списку. ; Je veux ajouter une autre chose à notre liste.
нарочно ; exprès, intentionnellement ; Он сделал это нарочно. ; Il l'a fait exprès.
прогонять / прогнать ; chasser, évincer ; Мы не можем прогонять кошек с нашего двора. ; Nous ne pouvons pas chasser les chats de notre cour.
неприлично ; indécent, obscène ; Говорить неприлично на публике - это плохой тон. ; Parler de manière indécente en public est de mauvais goût.
заложенный ; posé, établi ; Этот план был заложен много лет назад. ; Ce plan a été posé il y a de nombreuses années.
лицом к лицу ; face à face ; Они стояли лицом к лицу и разговаривали. ; Ils se tenaient face à face et parlaient.
по ковру ; sur le tapis ; Он прошел по ковру и вошел в комнату. ; Il a marché sur le tapis et est entré dans la pièce.
тереть / потереть ; frotter ; Ты должен тереть ковер, чтобы он был чистым. ; Tu dois frotter le tapis pour qu'il soit propre.
приличие ; décence ; Ему не хватает приличия. ; Il lui manque de la décence.
теплоход ; bateau à vapeur ; Они отправились в путешествие на теплоходе. ; Ils sont partis en voyage en bateau à vapeur.
