сумасшедший ; fou ; Он совершенно сумасшедший. ; Il est complètement fou.
повышение в чине ; promotion ; После успешного выполнения задания, он получил повышение в чине. ; Après avoir réussi la mission, il a reçu une promotion dans le rang.
истина ; vérité ; Истина всегда выходит наружу. ; La vérité sort toujours.
оттого ; à cause de cela, pour cette raison ; Оттого что он не пришел, мы начали без него. ; Nous avons commencé sans lui parce qu'il n'est pas venu.
по мере того как ; au fur et à mesure que ; По мере того как он рос, он становился все умнее. ; Au fur et à mesure qu'il grandissait, il devenait de plus en plus intelligent.
нарастать / нарасти ; augmenter, croître ; Настроение нарастало с каждым днем. ; L'humeur augmentait chaque jour.
раздроблять / раздробить ; émietter, écraser ; Он раздробил камень на мелкие кусочки. ; Il a émietté la pierre en petits morceaux.
отрочестве ; enfance ; В отрочестве он мечтал стать пилотом. ; Dans son enfance, il rêvait de devenir pilote.
постигшее ; compréhension ; Постигшее приходит с опытом. ; La compréhension vient avec l'expérience.
при мне ; en ma présence ; При мне, он всегда ведет себя вежливо. ; En ma présence, il se comporte toujours poliment.
мало-помалу ; petit à petit ; Мало-помалу, он начал понимать, что происходит. ; Petit à petit, il a commencé à comprendre ce qui se passait.
убеждаться / убедиться ; se convaincre, se persuader ; Он убедился, что она говорит правду. ; Il s'est convaincu qu'elle disait la vérité.  
задумчивость ; pensée, réflexion ; Он впал в задумчивость. ; Il est tombé dans la réflexion.
сырость ; humidité ; В комнате была сырость. ; Il y avait de l'humidité dans la pièce.
пар ; vapeur ; Воздух наполнился паром. ; L'air s'est rempli de vapeur.
отрадный ; réjouissant ; Это было в отрадным зрелищем. ; C'était un spectacle réjouissant.
освещать / осветить ; éclairer ; Солнце освещало комнату. ; Le soleil éclairait la pièce.
различать / различить ; distinguer ; Он различил своего друга среди толпы. ; Il a distingué son ami parmi la foule. 
разорванный ; déchiré ; Его сердце было разорвано на части. ; Son cœur était déchiré en morceaux.
бездонный ; sans fond, abyssal ; Озеро казалось бездонным. ; Le lac semblait sans fond. 
пристально ; attentivement ; Он смотрел на нее пристально. ; Il la regardait attentivement.
локоть ; coude ; Он ударил его локтем. ; Il l'a frappé avec son coude.
отрывисто ; de manière saccadée ; Он говорил отрывисто и нервно. ; Il parlait de manière saccadée et nerveuse.
дёргать / дёрнуть ; tirer, secouer ; Он дернул ее за руку. ; Il l'a tirée par la main.
в ознобе ; en frisson ; Он стоял в ознобе от страха. ; Il tremblait de peur.
договоривать / договорить ; finir de parler ; Он договорил и ушел. ; Il a fini de parler et est parti.
топать / топнуть ; piétiner, donner un coup de pied ; Мой маленький брат начал топать ногой, когда я взял его игрушку. ; Mon petit frère a commencé à piétiner du pied quand j'ai pris son jouet.
барин ; maître, seigneur ; Барин приказал принести ему воды. ; Le maître a ordonné de lui apporter de l'eau.
презренный ; méprisable ; Он был презренным человеком. ; Il était un homme méprisable.
припадок ; crise, attaque (dans un contexte médical) ; У меня был припадок вчера. ; J'ai eu une crise hier.
иной раз ; parfois ; Иной раз, он ведет себя странно. ; Parfois, il se comporte bizarrement.
просиживать / просидеть ; passer (du temps, souvent de manière oisive) ; Мы просиживали весь день дома, потому что на улице шёл дождь. ; Nous avons passé toute la journée à la maison parce qu'il pleuvait dehors. 
бродить / побродить ; errer, vagabonder ; В парке бродят бездомные собаки. ; Des chiens sans abri errent dans le parc.
в нравственном отношении ; moralement ; Он был слаб в нравственном отношении. ; Il était faible moralement.
праздный ; oisif, inactif ; Этот день был праздным для него. ; Cette journée a été oisive pour lui.
превращаться / превратиться ; se transformer ; Он превратился в злого человека. ; Il s'est transformé en un homme méchant.
подлость ; bassesse, lâcheté ; Подлость не принесет тебе ничего хорошего. ; La bassesse ne te mènera à rien de bon.
принадлежность ; appartenance ; Это принадлежит моему другу. ; Cela appartient à mon ami.
непристойный ; indécent ; Его поведение было непристойным. ; Son comportement était indécent.
поруган ; maudit ; Он был поруган всеми. ; Il a été maudit par tout le monde.
обесчещенный ; déshonoré ; Он был обесчещен в глазах своих друзей. ; Il a été déshonoré aux yeux de ses amis.
предварительно ; préalablement ; Он предварительно подготовился к экзамену. ; Il s'est préalablement préparé à l'examen.
одним словом ; en un mot ; Он был, одним словом, героем. ; Il était, en un mot, un héros.
хитрейший ; rusé, malin ; Он был хитрейшим из всех. ; Il était le plus rusé de tous.
дразнить / подразнить ; taquiner ; Он дразнил своего младшего брата. ; Il taquinait son petit frère.
висок ; tempe ; Он ударил его по виску. ; Il l'a frappé à la tempe.
ослеплять / ослепить ; aveugler, éblouir ; Он ослепил всех своим талантом. ; Il a ébloui tout le monde par son talent.
онемел ; engourdi, muet <adjectif, participe passé> ; Он был настолько поражён, что онемел. ; Il était tellement choqué qu'il en est resté muet.
колыхаться / колыхнуться ; onduler, se balancer ; Волны колыхались на поверхности воды. ; Les vagues ondulaient à la surface de l'eau.
по обыкновению ; comme d'habitude ; Он пришёл в офис рано утром, по обыкновению. ; Il est arrivé au bureau tôt le matin, comme d'habitude.
наяву ; en réalité, dans la vie ; Он был героем не только во сне, но и наяву. ; Il était un héros non seulement dans ses rêves, mais aussi en réalité.
